method,path,file,line,router_var
GET,/storage-health,src/routes/absence-attachment.routes.ts,17,absenceAttachmentRouter
GET,/:id/attachments,src/routes/absence-attachment.routes.ts,23,absenceAttachmentRouter
POST,/:id/attachments,src/routes/absence-attachment.routes.ts,30,absenceAttachmentRouter
GET,/:id/attachments/:attachmentId/content,src/routes/absence-attachment.routes.ts,38,absenceAttachmentRouter
DELETE,/:id/attachments/:attachmentId,src/routes/absence-attachment.routes.ts,45,absenceAttachmentRouter
GET,/,src/routes/absence-calendar.routes.ts,19,absenceCalendarRouter
GET,/default,src/routes/absence-calendar.routes.ts,25,absenceCalendarRouter
POST,/,src/routes/absence-calendar.routes.ts,31,absenceCalendarRouter
POST,/bootstrap-default,src/routes/absence-calendar.routes.ts,38,absenceCalendarRouter
PATCH,/:calendarId,src/routes/absence-calendar.routes.ts,44,absenceCalendarRouter
GET,/:calendarId/dates,src/routes/absence-calendar.routes.ts,52,absenceCalendarRouter
POST,/dates,src/routes/absence-calendar.routes.ts,60,absenceCalendarRouter
PATCH,/dates/:dateId,src/routes/absence-calendar.routes.ts,67,absenceCalendarRouter
POST,/calculate,src/routes/absence-calendar.routes.ts,77,absenceCalculateRouter
POST,/,src/routes/absence-request-draft.routes.ts,33,absenceRequestDraftRouter
GET,/:draftId,src/routes/absence-request-draft.routes.ts,48,absenceRequestDraftRouter
POST,/:draftId/submit,src/routes/absence-request-draft.routes.ts,62,absenceRequestDraftRouter
POST,/:draftId/attachments,src/routes/absence-request-draft.routes.ts,79,absenceRequestDraftRouter
GET,/,src/routes/absence-request.routes.ts,20,absenceRequestRouter
POST,/,src/routes/absence-request.routes.ts,27,absenceRequestRouter
GET,/:id/operational-impact,src/routes/absence-request.routes.ts,34,absenceRequestRouter
GET,/:id/operational-conflicts,src/routes/absence-request.routes.ts,41,absenceRequestRouter
POST,/:id/operational-conflicts/:conflictId/resolve,src/routes/absence-request.routes.ts,48,absenceRequestRouter
POST,/:id/reconcile-operational-impact,src/routes/absence-request.routes.ts,56,absenceRequestRouter
GET,/:id,src/routes/absence-request.routes.ts,64,absenceRequestRouter
PATCH,/:id,src/routes/absence-request.routes.ts,71,absenceRequestRouter
PATCH,/:id/resubmit,src/routes/absence-request.routes.ts,79,absenceRequestRouter
PATCH,/:id/approve,src/routes/absence-request.routes.ts,86,absenceRequestRouter
PATCH,/:id/reject,src/routes/absence-request.routes.ts,93,absenceRequestRouter
PATCH,/:id/needs-info,src/routes/absence-request.routes.ts,101,absenceRequestRouter
PATCH,/:id/cancel,src/routes/absence-request.routes.ts,109,absenceRequestRouter
GET,/,src/routes/absence-type.routes.ts,15,absenceTypesRouter
PATCH,/:id,src/routes/absence-type.routes.ts,22,absenceTypesRouter
POST,/,src/routes/attendance.routes.ts,20,attendanceRouter
POST,/manual/preview,src/routes/attendance.routes.ts,26,attendanceRouter
POST,/manual,src/routes/attendance.routes.ts,32,attendanceRouter
PATCH,/:id/manual,src/routes/attendance.routes.ts,38,attendanceRouter
GET,/,src/routes/attendance.routes.ts,45,attendanceRouter
GET,/export.csv,src/routes/attendance.routes.ts,51,attendanceRouter
PATCH,/:id/review,src/routes/attendance.routes.ts,57,attendanceRouter
GET,/:id/reviews,src/routes/attendance.routes.ts,64,attendanceRouter
GET,/:id/audit-logs,src/routes/attendance.routes.ts,71,attendanceRouter
GET,/:id,src/routes/attendance.routes.ts,78,attendanceRouter
POST,/login,src/routes/auth.routes.ts,28,authRouter
POST,/login/2fa,src/routes/auth.routes.ts,39,authRouter
POST,/forgot-password,src/routes/auth.routes.ts,56,authRouter
POST,/reset-password,src/routes/auth.routes.ts,77,authRouter
GET,/me,src/routes/auth.routes.ts,88,authRouter
GET,/2fa/status,src/routes/auth.routes.ts,90,authRouter
POST,/2fa/setup,src/routes/auth.routes.ts,91,authRouter
POST,/2fa/confirm,src/routes/auth.routes.ts,92,authRouter
POST,/2fa/disable,src/routes/auth.routes.ts,103,authRouter
POST,/2fa/recovery-codes/regenerate,src/routes/auth.routes.ts,114,authRouter
POST,/2fa/reconfigure/setup,src/routes/auth.routes.ts,125,authRouter
POST,/2fa/reconfigure/confirm,src/routes/auth.routes.ts,136,authRouter
DELETE,/2fa/reconfigure,src/routes/auth.routes.ts,147,authRouter
POST,/session,src/routes/bot-simulator.routes.ts,9,botSimulatorRouter
GET,/session/:id,src/routes/bot-simulator.routes.ts,10,botSimulatorRouter
POST,/session/:id/restart,src/routes/bot-simulator.routes.ts,11,botSimulatorRouter
GET,/session/:id/location-presets,src/routes/bot-simulator.routes.ts,12,botSimulatorRouter
POST,/message,src/routes/bot-simulator.routes.ts,16,botSimulatorRouter
POST,/location,src/routes/bot-simulator.routes.ts,17,botSimulatorRouter
GET,/,src/routes/company-user.routes.ts,15,companyUserRouter
