store_id,official_address,neighborhood,locality
114,Market Bahía Blanca,Bahía Blanca,Bueno Aires Interior Market
134,Market Tandil,Tandil,Bueno Aires Interior Market
163,San Jerónimo 444,Córdoba Capital,Córdoba
164,Rojas 726,Caballito,C.A.B.A.
171,Virrey Toledo 702,Salta Capital,Salta
172,San Juan 1128,Mendoza,Mendoza
173,Caseros 243,Córdoba Capital,Córdoba
174,Av. Independencia 2054,San Cristobal,C.A.B.A.
182,Market Juramento 2971,Belgrano,C.A.B.A. Market
192,Av. Callao 1450,Recoleta,C.A.B.A.
194,Jacinto de Altolaguirre 1679,Córdoba Capital,Córdoba
199,Av. Cordoba 1439,Recoleta,C.A.B.A.
200,Av. Rivadavia 8421,Floresta,C.A.B.A.
207,Av. San Juan 560,San telmo,C.A.B.A.
211,Italia y Sáenz Valiente,Martinez,G.B.A. Market
213,Paraguay 919,Retiro,C.A.B.A.
216,Av. Maipú 940,Vicente Lopez,G.B.A. Market
216,Market Vicente Lopez,Vicente Lopez,G.B.A. Market
222,Paraná 473,Córdoba Capital,Córdoba
223,Octavio Pinto 2665,Córdoba Capital,Córdoba
224,Ambrosio Olmos 929,Córdoba Capital,Córdoba
225,Jose Roque Funes 1145,Córdoba Capital,Córdoba
226,226 - Market Edison,Martinez,G.B.A. Market
236,Av. Rivadavia 7070,Flores,C.A.B.A.
245,Av. San Martín 2999,Paternal,C.A.B.A.
247,Av. La Plata 430,Boedo,C.A.B.A.
251,Arce 730,Palermo,C.A.B.A.
254,Av. Diego Carman 451,San Isidro,G.B.A.
257,Av. Independencia 1520,Monserrat,C.A.B.A.
260,Av. Las Heras 2397,Recoleta,C.A.B.A.
261,Rivadavia 57,Mendoza,Mendoza
265,Av. Angel Gallardo 30,Villa Crespo,C.A.B.A.
267,Roque Saenz Peña 121,Lujan de Cuyo,Mendoza
269,Tiburcio Benegas 2306,Mendoza,Mendoza
270,Jose Ingenieros 59 (Villa Carlos Paz),Villa Carlos Paz,Córdoba
273,Av. Cabildo 3722,Belgrano,C.A.B.A.
280,Av. Republica de China 1045,Córdoba Capital,Córdoba
281,Sagrada Familia 1305,Córdoba Capital,Córdoba
283,Av. Las Heras 316,Mendoza,Mendoza
286,Av. Belgrano 1170,Tupungato,Mendoza
291,Piedras 383,Monserrat,C.A.B.A.
295,Bv. Granaderos 2906 (esq. Virgen de la Merced),Córdoba Capital,Córdoba
296,Market Olavarria II,Olavarria,Bueno Aires Interior Market
