id	codigo	direccion	localidad	provincia	ubicacion	latitud	longitud	fuente	fecha_creacion
184	581	Juan Maria Gutierrez 3756	Capital Federal	Capital Federal		-34.580988700143720	-58.413044379623200	Georef	2026-06-22 10:18:33.750
185	642	Gral Paz 240	Capital Federal	Córdoba		-34.847746171489450	-58.529564043311720	Georef	2026-06-22 10:18:35.253
187	854	Av. Bartolome Mitre 3125	Moreno	Buenos Aires		-34.682254798873196	-58.344029322230774	Georef	2026-06-22 10:18:46.423
191	163	San Jerónimo 444	Córdoba Capital	Córdoba		-32.355400961834970	-60.940808511634240	Georef	2026-06-22 15:51:54.980
192	164	Rojas 726	Capital Federal	Capital Federal		-34.612596118171950	-58.444886639104390	Georef	2026-06-22 15:51:57.530
194	172	San Juan 1128	Capital Federal	Mendoza		-32.805979181544465	-61.412585424521320	Georef	2026-06-22 15:52:08.167
195	173	Caseros 243	Capital Federal	Córdoba		-33.685297823253130	-59.668738813328420	Georef	2026-06-22 15:52:10.917
196	174	Av. Independencia 2054	Capital Federal	Capital Federal		-35.911743779476720	-64.283907540976810	Georef	2026-06-22 15:52:15.087
197	182	463	Av. Teniente Gral Juan Domingo Perón 2640	Buenos Aires		-34.749948987571650	-58.238835422917150	Georef	2026-06-22 15:52:26.817
198	192	Av. Callao 1450	Capital Federal	Capital Federal		-34.592201960080860	-58.392363057426350	Georef	2026-06-22 15:52:31.100
199	194	Jacinto de Altolaguirre 1679	Capital Federal	Córdoba		-31.388646994191678	-64.134106644841310	Georef	2026-06-22 15:52:35.583
200	199	Av. Cordoba 1439	Capital Federal	Capital Federal		-24.181996175619766	-65.313981903790390	Georef	2026-06-22 15:52:39.527
201	200	Av. Rivadavia 8421	Capital Federal	Capital Federal		-34.633991682179150	-58.482584361968490	Georef	2026-06-22 15:52:43.233
202	207	Av. San Juan 560	Capital Federal	Capital Federal		-34.621921919062960	-58.373620047657040	Georef	2026-06-22 15:52:47.067
203	211	Italia y Sáenz Valiente	Capital Federal	Buenos Aires		-34.486968480393500	-58.505818771557200	Georef	2026-06-22 15:52:51.760
204	213	Paraguay 919	Capital Federal	Capital Federal		-23.122403986041387	-64.316361841308000	Georef	2026-06-22 15:52:55.520
205	216	Maipu 900	Vicente Lopez	Buenos Aires		-34.529641369831100	-58.480519428832900	Georef	2026-06-22 15:52:59.283
206	222	Paraná 473	Capital Federal	Córdoba		-31.423731967476130	-64.179771770193110	Georef	2026-06-22 15:53:13.033
207	223	Octavio Pinto 2665	Capital Federal	Córdoba		-31.389076928468786	-64.215645271360970	Georef	2026-06-22 15:53:17.007
208	224	280	Av. Republica de China 1045	Córdoba		-24.241040904853300	-65.263505550972700	Georef	2026-06-22 15:53:21.120
209	225	Jose Roque Funes 1145	Capital Federal	Córdoba		-31.379916488235278	-64.244458792131030	Georef	2026-06-22 15:53:25.190
211	236	Av. Rivadavia 7070	Capital Federal	Capital Federal		-34.629536793671630	-58.465102321085820	Georef	2026-06-22 15:53:41.717
